question_id,model,time,token_f1,meteor,rouge_l,symbol_f1,anthropic/claude-sonnet-4.5_rating,google/gemini-2.5-pro_rating,openai/gpt-5_rating
003_006_006,anthropic/claude-sonnet-4.5,12.471115589141846,0.5108225108225108,0.3537734008739156,0.3624454148471616,0.2352941176470588,5.0,5.0,5.0
003_006_006,openai/gpt-5,19.609480142593384,0.4468864468864469,0.2256830151415405,0.411764705882353,0.3043478260869565,5.0,5.0,5.0
003_006_006,google/gemini-2.5-pro,22.56944704055786,0.3746312684365782,0.4060705240825859,0.302496328928047,0.2051282051282051,5.0,5.0,5.0
003_023_016,anthropic/claude-sonnet-4.5,13.388119220733644,0.4668008048289738,0.3712863423808071,0.3742454728370221,0.1666666666666666,5.0,5.0,5.0
003_023_016,google/gemini-2.5-pro,29.896791696548465,0.2696871628910464,0.3230430939226519,0.2133620689655172,0.1686746987951807,5.0,5.0,5.0
003_023_016,openai/gpt-5,35.53083825111389,0.4861538461538461,0.3206385335439468,0.326797385620915,0.4888888888888889,5.0,5.0,5.0
025_007_024,anthropic/claude-sonnet-4.5,25.16555881500244,0.434052757793765,0.3736602320864321,0.2488262910798122,0.0816326530612244,5.0,5.0,5.0
025_007_024,google/gemini-2.5-pro,45.612823486328125,0.276843467011643,0.3138809291681392,0.2017879948914431,0.0465116279069767,5.0,5.0,5.0
025_007_024,openai/gpt-5,46.0949490070343,0.3389830508474576,0.2933430977749517,0.1750291715285881,0.08,5.0,5.0,5.0
007_003_022,anthropic/claude-sonnet-4.5,14.974971294403076,0.3846153846153846,0.2246406454156981,0.2364672364672364,0.1509433962264151,5.0,5.0,5.0
007_003_022,google/gemini-2.5-pro,33.38924026489258,0.3796445880452342,0.3115235766000843,0.2229402261712439,0.202020202020202,5.0,5.0,5.0
007_003_022,openai/gpt-5,63.43821239471436,0.3556280587275693,0.208091019728498,0.1794871794871795,0.3582089552238806,5.0,5.0,5.0
016_023_013,anthropic/claude-sonnet-4.5,32.30418157577515,0.3899497487437185,0.2843881714120972,0.1550695825049702,0.1,5.0,5.0,4.0
016_023_013,google/gemini-2.5-pro,56.4326696395874,0.2965174129353234,0.3253251185989162,0.1481849825957235,0.1714285714285714,5.0,5.0,3.0
016_023_013,openai/gpt-5,88.31400656700134,0.3319268635724332,0.3175095706711046,0.1524347212420607,0.1142857142857142,5.0,4.0,5.0
